Indicator Name,Indicator Code
General government final consumption expenditure (current US$),NE.CON.GOVT.CD
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD
General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG
General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD
Households and NPISHs Final consumption expenditure (current LCU),NE.CON.PRVT.CN
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD
Households and NPISHs Final consumption expenditure (annual % growth),NE.CON.PRVT.KD.ZG
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN
Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD
Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG
"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD
"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD
Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS
Final consumption expenditure (current US$),NE.CON.TOTL.CD
Final consumption expenditure (current LCU),NE.CON.TOTL.CN
Final consumption expenditure (constant 2010 US$),NE.CON.TOTL.KD
Final consumption expenditure (annual % growth),NE.CON.TOTL.KD.ZG
Final consumption expenditure (constant LCU),NE.CON.TOTL.KN
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS
Gross national expenditure deflator (base year varies by country),NE.DAB.DEFL.ZS
Gross national expenditure (current US$),NE.DAB.TOTL.CD
Gross national expenditure (current LCU),NE.DAB.TOTL.CN
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS
Exports of goods and services (current US$),NE.EXP.GNFS.CD
Exports of goods and services (current LCU),NE.EXP.GNFS.CN
Exports of goods and services (constant 2010 US$),NE.EXP.GNFS.KD
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS
"Gross fixed capital formation, private sector (current LCU)",NE.GDI.FPRV.CN
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD
Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS
Changes in inventories (current US$),NE.GDI.STKB.CD
Changes in inventories (current LCU),NE.GDI.STKB.CN
Changes in inventories (constant LCU),NE.GDI.STKB.KN
Gross capital formation (current US$),NE.GDI.TOTL.CD
Gross capital formation (current LCU),NE.GDI.TOTL.CN
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD
Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG
Gross capital formation (constant LCU),NE.GDI.TOTL.KN
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS
Imports of goods and services (current US$),NE.IMP.GNFS.CD
Imports of goods and services (current LCU),NE.IMP.GNFS.CN
Imports of goods and services (constant 2010 US$),NE.IMP.GNFS.KD
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS
External balance on goods and services (current US$),NE.RSB.GNFS.CD
External balance on goods and services (current LCU),NE.RSB.GNFS.CN
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS
Trade (% of GDP),NE.TRD.GNFS.ZS
"Agriculture, forestry, and fishing, value added per worker (constant 2010 US$)",NV.AGR.EMPL.KD
"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD
"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN
"Agriculture, forestry, and fishing, value added (constant 2010 US$)",NV.AGR.TOTL.KD
"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS
Financial intermediary services indirectly Measured (FISIM) (current LCU),NV.FSM.TOTL.CN
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN
"Industry (including construction), value added per worker (constant 2010 US$)",NV.IND.EMPL.KD
"Manufacturing, value added (current US$)",NV.IND.MANF.CD
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN
"Manufacturing, value added (constant 2010 US$)",NV.IND.MANF.KD
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN
"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG
"Industry (including construction), value added (constant LCU)",NV.IND.TOTL.KN
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS
Chemicals (% of value added in manufacturing),NV.MNF.CHEM.ZS.UN
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN
