"Indicator Name"
"School enrollment, primary (gross), gender parity index (GPI)"
"Adjusted net enrollment rate, primary (% of primary school age children)"
"Children out of school (% of primary school age)"
"Compulsory education, duration (years)"
"Current education expenditure, total (% of total expenditure in public institutions)"
"Expenditure on primary education (% of government expenditure on education)"
"Expenditure on secondary education (% of government expenditure on education)"
"Expenditure on tertiary education (% of government expenditure on education)"
"Government expenditure on education, total (% of GDP)"
"Government expenditure on education, total (% of government expenditure)"
"Government expenditure per student, primary (% of GDP per capita)"
"Primary completion rate, total (% of relevant age group)"
"Primary education, pupils"
"Primary education, pupils (% female)"
"Primary education, teachers"
"Primary education, teachers (% female)"
"Progression to secondary school (%)"
"Pupil-teacher ratio, primary"
"School enrollment, primary (% gross)"
"School enrollment, secondary (% gross)"
"School enrollment, tertiary (% gross)"
"Secondary education, pupils"
"Secondary education, pupils (% female)"
"Tertiary education, academic staff (% female)"
"Trained teachers in primary education (% of total teachers)"
