T03,"Population growth and indicators of fertility and mortality",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,"Population annual rate of increase (percent)",1.257,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
1,"Total, all countries or areas",2005,"Total fertility rate (children per women)",2.6513,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
1,"Total, all countries or areas",2005,"Infant mortality for both sexes (per 1,000 live births)",49.2161,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
1,"Total, all countries or areas",2005,"Maternal mortality ratio (deaths per 100,000 population)",288,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
1,"Total, all countries or areas",2005,"Life expectancy at birth for both sexes (years)",67.0455,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
1,"Total, all countries or areas",2005,"Life expectancy at birth for males (years)",64.8082,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
1,"Total, all countries or areas",2005,"Life expectancy at birth for females (years)",69.3589,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
1,"Total, all countries or areas",2010,"Population annual rate of increase (percent)",1.23,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
1,"Total, all countries or areas",2010,"Total fertility rate (children per women)",2.5842,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
1,"Total, all countries or areas",2010,"Infant mortality for both sexes (per 1,000 live births)",40.9775,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
1,"Total, all countries or areas",2010,"Maternal mortality ratio (deaths per 100,000 population)",246,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
1,"Total, all countries or areas",2010,"Life expectancy at birth for both sexes (years)",68.919,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
1,"Total, all countries or areas",2010,"Life expectancy at birth for males (years)",66.6565,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
1,"Total, all countries or areas",2010,"Life expectancy at birth for females (years)",71.2585,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
